Category: All categories

Week,Bitcoin: (United States)
2016-10-09,2
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,2
2016-12-18,3
2016-12-25,4
2017-01-01,6
2017-01-08,4
2017-01-15,3
2017-01-22,3
2017-01-29,3
2017-02-05,3
2017-02-12,3
2017-02-19,4
2017-02-26,4
2017-03-05,5
2017-03-12,4
2017-03-19,4
2017-03-26,3
2017-04-02,3
2017-04-09,3
2017-04-16,3
2017-04-23,4
2017-04-30,5
2017-05-07,7
2017-05-14,8
2017-05-21,17
2017-05-28,10
2017-06-04,10
2017-06-11,11
2017-06-18,8
2017-06-25,8
2017-07-02,6
2017-07-09,7
2017-07-16,9
2017-07-23,8
2017-07-30,13
2017-08-06,11
2017-08-13,17
2017-08-20,12
2017-08-27,12
2017-09-03,13
2017-09-10,16
2017-09-17,11
2017-09-24,9
2017-10-01,9
2017-10-08,14
2017-10-15,15
2017-10-22,15
2017-10-29,22
2017-11-05,23
2017-11-12,26
2017-11-19,23
2017-11-26,64
2017-12-03,95
2017-12-10,86
2017-12-17,100
2017-12-24,60
2017-12-31,42
2018-01-07,40
2018-01-14,52
2018-01-21,35
2018-01-28,37
2018-02-04,44
2018-02-11,23
2018-02-18,20
2018-02-25,16
2018-03-04,17
2018-03-11,18
2018-03-18,16
2018-03-25,16
2018-04-01,16
2018-04-08,14
2018-04-15,12
2018-04-22,13
2018-04-29,11
2018-05-06,11
2018-05-13,10
2018-05-20,10
2018-05-27,9
2018-06-03,8
2018-06-10,12
2018-06-17,10
2018-06-24,10
2018-07-01,9
2018-07-08,8
2018-07-15,10
2018-07-22,11
2018-07-29,9
2018-08-05,10
2018-08-12,10
2018-08-19,8
2018-08-26,8
2018-09-02,9
2018-09-09,8
2018-09-16,7
2018-09-23,7
2018-09-30,6
2018-10-07,6
2018-10-14,6
2018-10-21,5
2018-10-28,5
2018-11-04,6
