Category: All categories

Week,EOS: (United States)
2016-10-09,53
2016-10-16,53
2016-10-23,55
2016-10-30,54
2016-11-06,53
2016-11-13,67
2016-11-20,98
2016-11-27,77
2016-12-04,74
2016-12-11,75
2016-12-18,77
2016-12-25,80
2017-01-01,66
2017-01-08,60
2017-01-15,61
2017-01-22,60
2017-01-29,58
2017-02-05,57
2017-02-12,58
2017-02-19,63
2017-02-26,58
2017-03-05,58
2017-03-12,56
2017-03-19,75
2017-03-26,75
2017-04-02,65
2017-04-09,63
2017-04-16,60
2017-04-23,61
2017-04-30,61
2017-05-07,63
2017-05-14,62
2017-05-21,61
2017-05-28,64
2017-06-04,58
2017-06-11,59
2017-06-18,60
2017-06-25,63
2017-07-02,71
2017-07-09,60
2017-07-16,62
2017-07-23,62
2017-07-30,63
2017-08-06,64
2017-08-13,61
2017-08-20,60
2017-08-27,58
2017-09-03,58
2017-09-10,54
2017-09-17,52
2017-09-24,57
2017-10-01,58
2017-10-08,59
2017-10-15,59
2017-10-22,58
2017-10-29,63
2017-11-05,65
2017-11-12,73
2017-11-19,100
2017-11-26,86
2017-12-03,80
2017-12-10,94
2017-12-17,100
2017-12-24,96
2017-12-31,80
2018-01-07,84
2018-01-14,77
2018-01-21,75
2018-01-28,66
2018-02-04,63
2018-02-11,62
2018-02-18,64
2018-02-25,62
2018-03-04,58
2018-03-11,65
2018-03-18,61
2018-03-25,62
2018-04-01,64
2018-04-08,69
2018-04-15,63
2018-04-22,75
2018-04-29,79
2018-05-06,70
2018-05-13,71
2018-05-20,71
2018-05-27,90
2018-06-03,82
2018-06-10,84
2018-06-17,68
2018-06-24,69
2018-07-01,69
2018-07-08,65
2018-07-15,65
2018-07-22,65
2018-07-29,65
2018-08-05,61
2018-08-12,64
2018-08-19,56
2018-08-26,60
2018-09-02,78
2018-09-09,63
2018-09-16,60
2018-09-23,60
2018-09-30,60
2018-10-07,58
2018-10-14,58
2018-10-21,58
2018-10-28,60
2018-11-04,55
