Category: All categories

Week,ETH: (United States)
2016-10-09,6
2016-10-16,6
2016-10-23,6
2016-10-30,6
2016-11-06,6
2016-11-13,5
2016-11-20,5
2016-11-27,7
2016-12-04,7
2016-12-11,6
2016-12-18,6
2016-12-25,5
2017-01-01,7
2017-01-08,7
2017-01-15,6
2017-01-22,6
2017-01-29,6
2017-02-05,6
2017-02-12,8
2017-02-19,7
2017-02-26,11
2017-03-05,9
2017-03-12,18
2017-03-19,15
2017-03-26,14
2017-04-02,12
2017-04-09,9
2017-04-16,9
2017-04-23,12
2017-04-30,20
2017-05-07,18
2017-05-14,17
2017-05-21,46
2017-05-28,40
2017-06-04,40
2017-06-11,66
2017-06-18,48
2017-06-25,46
2017-07-02,28
2017-07-09,36
2017-07-16,35
2017-07-23,23
2017-07-30,24
2017-08-06,27
2017-08-13,28
2017-08-20,23
2017-08-27,28
2017-09-03,26
2017-09-10,26
2017-09-17,20
2017-09-24,17
2017-10-01,17
2017-10-08,22
2017-10-15,22
2017-10-22,19
2017-10-29,25
2017-11-05,24
2017-11-12,25
2017-11-19,35
2017-11-26,47
2017-12-03,56
2017-12-10,74
2017-12-17,76
2017-12-24,60
2017-12-31,92
2018-01-07,100
2018-01-14,78
2018-01-21,50
2018-01-28,54
2018-02-04,44
2018-02-11,34
2018-02-18,30
2018-02-25,24
2018-03-04,27
2018-03-11,23
2018-03-18,25
2018-03-25,25
2018-04-01,22
2018-04-08,21
2018-04-15,21
2018-04-22,24
2018-04-29,26
2018-05-06,23
2018-05-13,19
2018-05-20,19
2018-05-27,18
2018-06-03,18
2018-06-10,18
2018-06-17,16
2018-06-24,16
2018-07-01,15
2018-07-08,14
2018-07-15,16
2018-07-22,15
2018-07-29,15
2018-08-05,18
2018-08-12,24
2018-08-19,15
2018-08-26,16
2018-09-02,19
2018-09-09,21
2018-09-16,17
2018-09-23,14
2018-09-30,13
2018-10-07,14
2018-10-14,13
2018-10-21,10
2018-10-28,12
2018-11-04,10
