Category: All categories

Week,xrp: (United States)
2016-10-09,<1
2016-10-16,<1
2016-10-23,<1
2016-10-30,<1
2016-11-06,<1
2016-11-13,<1
2016-11-20,<1
2016-11-27,<1
2016-12-04,<1
2016-12-11,<1
2016-12-18,<1
2016-12-25,<1
2017-01-01,<1
2017-01-08,<1
2017-01-15,<1
2017-01-22,<1
2017-01-29,<1
2017-02-05,<1
2017-02-12,<1
2017-02-19,<1
2017-02-26,<1
2017-03-05,<1
2017-03-12,<1
2017-03-19,1
2017-03-26,1
2017-04-02,2
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,2
2017-05-07,4
2017-05-14,5
2017-05-21,5
2017-05-28,5
2017-06-04,4
2017-06-11,4
2017-06-18,4
2017-06-25,3
2017-07-02,3
2017-07-09,3
2017-07-16,4
2017-07-23,3
2017-07-30,3
2017-08-06,3
2017-08-13,4
2017-08-20,7
2017-08-27,6
2017-09-03,4
2017-09-10,4
2017-09-17,3
2017-09-24,3
2017-10-01,4
2017-10-08,5
2017-10-15,7
2017-10-22,4
2017-10-29,4
2017-11-05,4
2017-11-12,5
2017-11-19,7
2017-11-26,14
2017-12-03,16
2017-12-10,71
2017-12-17,78
2017-12-24,85
2017-12-31,100
2018-01-07,68
2018-01-14,44
2018-01-21,23
2018-01-28,22
2018-02-04,20
2018-02-11,17
2018-02-18,13
2018-02-25,11
2018-03-04,15
2018-03-11,10
2018-03-18,9
2018-03-25,9
2018-04-01,8
2018-04-08,9
2018-04-15,12
2018-04-22,12
2018-04-29,10
2018-05-06,8
2018-05-13,7
2018-05-20,8
2018-05-27,8
2018-06-03,8
2018-06-10,8
2018-06-17,7
2018-06-24,7
2018-07-01,8
2018-07-08,6
2018-07-15,8
2018-07-22,7
2018-07-29,8
2018-08-05,8
2018-08-12,9
2018-08-19,7
2018-08-26,7
2018-09-02,7
2018-09-09,6
2018-09-16,19
2018-09-23,16
2018-09-30,15
2018-10-07,10
2018-10-14,11
2018-10-21,10
2018-10-28,9
2018-11-04,9
