"Date","Open","High","Low","Close","Volume","Market Cap"
"07-11-2018",0.08102,0.08131,0.078017,0.078544,36852900,2036408050
"06-11-2018",0.076337,0.080952,0.076337,0.080952,49473200,2084951304
"05-11-2018",0.075961,0.07888,0.074745,0.076148,34358100,1974302345
"04-11-2018",0.071492,0.077307,0.071291,0.076229,52924200,1976402438
"03-11-2018",0.072561,0.072621,0.070822,0.071479,14948900,1853235890
"02-11-2018",0.070814,0.07304,0.070788,0.072584,18823400,1881885303
"01-11-2018",0.069698,0.071463,0.069119,0.070867,11256600,1837384079
"31-10-2018",0.069723,0.069829,0.067883,0.069705,16366000,1807238674
"30-10-2018",0.069632,0.070024,0.069226,0.069647,11418800,1805750460
"29-10-2018",0.073042,0.073215,0.068899,0.069627,21315700,1805221548
"28-10-2018",0.07303,0.073296,0.072361,0.073166,11226100,1896990414
"27-10-2018",0.073687,0.073791,0.072868,0.072886,10316000,1889715278
"26-10-2018",0.073748,0.07396,0.072679,0.073713,13464800,1911154372
"25-10-2018",0.074289,0.074345,0.073163,0.073859,12567300,1914952688
"24-10-2018",0.074612,0.075652,0.07415,0.074321,14151400,1926918031
"23-10-2018",0.075864,0.076139,0.073071,0.074743,20710600,1937869626
"22-10-2018",0.075754,0.07651,0.075145,0.075776,16871700,1964652290
"21-10-2018",0.076305,0.077536,0.075602,0.075873,17620200,1967169808
"20-10-2018",0.075788,0.077146,0.075202,0.076342,20363900,1979319234
"19-10-2018",0.075022,0.076463,0.074427,0.075836,18153800,1966215692
"18-10-2018",0.077536,0.077955,0.07426,0.075131,28634400,1947931922
"17-10-2018",0.07586,0.078271,0.075102,0.077408,36907800,2006973047
"16-10-2018",0.074788,0.076625,0.074392,0.075814,26555800,1965629740
"15-10-2018",0.070436,0.078624,0.069773,0.074789,71953000,1939054493
"14-10-2018",0.073063,0.073775,0.070715,0.071293,26250600,1848416047
"13-10-2018",0.072637,0.07489,0.072471,0.073103,23571900,1895336267
"12-10-2018",0.070339,0.07588,0.069839,0.073214,40979000,1898221950
