"Date","Open","High","Low","Close","Volume","Market Cap"
"07-11-2018",0.024362,0.025835,0.023643,0.023774,124654000,1563115331
"06-11-2018",0.023796,0.025294,0.023543,0.024421,117452000,1612281769
"05-11-2018",0.023247,0.023993,0.023073,0.023745,77425400,1561195486
"04-11-2018",0.022692,0.023482,0.022429,0.023273,85125200,1530155802
"03-11-2018",0.022864,0.022864,0.022505,0.0227,65167000,1492515008
"02-11-2018",0.022579,0.023114,0.02252,0.02286,72574300,1502968958
"01-11-2018",0.022194,0.023718,0.022112,0.022575,59714000,1484257046
"31-10-2018",0.022223,0.022257,0.021636,0.022192,61235400,1459082094
"30-10-2018",0.022162,0.022363,0.022032,0.022191,59288100,1459003196
"29-10-2018",0.023491,0.023584,0.021947,0.022185,71341500,1458602132
"28-10-2018",0.023418,0.023583,0.023305,0.023555,68048500,1548696770
"27-10-2018",0.023637,0.023754,0.022817,0.023274,68108100,1530214976
"26-10-2018",0.023085,0.023695,0.02289,0.023585,82337400,1550702087
"25-10-2018",0.023477,0.023487,0.022922,0.023144,81264400,1521661146
"24-10-2018",0.023397,0.023822,0.023394,0.02348,63083100,1543745937
"23-10-2018",0.023819,0.023879,0.02305,0.023477,80184600,1543568417
"22-10-2018",0.024189,0.024339,0.023667,0.023811,81313000,1565508562
"21-10-2018",0.024138,0.024643,0.023965,0.024196,92125200,1590867609
"20-10-2018",0.024092,0.024267,0.023958,0.024157,87168500,1588250834
"19-10-2018",0.024247,0.024327,0.023901,0.024074,83554800,1582820040
"18-10-2018",0.024238,0.024938,0.024008,0.024271,113584000,1595772418
"17-10-2018",0.024422,0.024508,0.023766,0.024234,103220000,1593326588
"16-10-2018",0.025132,0.025132,0.024223,0.024358,103826000,1601518803
"15-10-2018",0.023509,0.025798,0.022999,0.025082,197544000,1649080987
"14-10-2018",0.023614,0.024577,0.023503,0.023622,146316000,1553128193
"13-10-2018",0.022701,0.023901,0.022701,0.023565,149554000,1549334526
"12-10-2018",0.02076,0.023624,0.02068,0.022738,183447000,1494960838
"11-10-2018",0.025306,0.025306,0.020873,0.020929,172387000,1376055378
"10-10-2018",0.025938,0.025939,0.024636,0.025355,165671000,1667023646
"09-10-2018",0.026573,0.026794,0.025279,0.026058,188256000,1713270868
"08-10-2018",0.027012,0.02805,0.026098,0.026592,302834000,1748393509
"07-10-2018",0.023775,0.027221,0.023662,0.026875,299132000,1767000225
"06-10-2018",0.023376,0.024275,0.022972,0.023715,162799000,1559203318
"05-10-2018",0.022737,0.023286,0.022442,0.023275,139745000,1530287299
"04-10-2018",0.021619,0.023425,0.021614,0.022703,148666000,1492653079
"03-10-2018",0.022057,0.022057,0.021248,0.0216,107097000,1420146062
"02-10-2018",0.022057,0.02238,0.021901,0.022093,111868000,1452546731
"01-10-2018",0.022214,0.02233,0.021706,0.022052,110444000,1449864208
"30-09-2018",0.022049,0.022592,0.021912,0.022165,117217000,1457287170
"29-09-2018",0.021933,0.022144,0.021323,0.022035,108096000,1448759640
"28-09-2018",0.022507,0.022962,0.021458,0.021978,114936000,1444979124
"27-09-2018",0.021097,0.022797,0.020747,0.022507,124196000,1479792749
"26-09-2018",0.021274,0.02197,0.020384,0.021028,110081000,1382518418
"25-09-2018",0.022029,0.022029,0.020275,0.02128,126284000,1399126391
"24-09-2018",0.023739,0.024093,0.021965,0.022089,116603000,1452290314
"23-09-2018",0.023198,0.024604,0.023094,0.023791,138225000,1564239623
"22-09-2018",0.024907,0.02537,0.022404,0.023176,173243000,1523751936
"21-09-2018",0.021506,0.025817,0.021356,0.02493,283823000,1639126723
"20-09-2018",0.019762,0.021722,0.01974,0.021413,135790000,1407857740
"19-09-2018",0.019356,0.02017,0.019013,0.019753,114381000,1298729024
"18-09-2018",0.018478,0.019582,0.018396,0.019389,100841000,1274809861
"17-09-2018",0.019956,0.020283,0.018351,0.018517,109688000,1217484083
"16-09-2018",0.019925,0.020119,0.019385,0.019975,102132000,1313311955
"15-09-2018",0.019823,0.020388,0.019823,0.019933,94169900,1310537385
"14-09-2018",0.019981,0.020683,0.019274,0.019832,117114000,1303936275
"13-09-2018",0.018289,0.020407,0.018289,0.019946,124862000,1311385536
"12-09-2018",0.01868,0.018782,0.017237,0.018242,109120000,1199409927
"11-09-2018",0.019415,0.019655,0.01812,0.018676,106212000,1227944607
"10-09-2018",0.020088,0.020294,0.019129,0.019381,101717000,1274283876
"09-09-2018",0.019311,0.020249,0.018986,0.019365,97726800,1273192458
